TIMESTAMP_x,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep) 
 01/01  00:15:00,10.15,8.941665034,85.75
 01/01  00:30:00,10.1,8.611061865,82.5
 01/01  00:45:00,10.05,8.278554549,79.25
 01/01  01:00:00,10,7.94413864,76
 01/01  01:15:00,10.25,8.063737137,74.75
 01/01  01:30:00,10.5,8.180799351,73.5
 01/01  01:45:00,10.75,8.295286118,72.25
 01/01  02:00:00,11,8.407153931,71
 01/01  02:15:00,11,8.407153931,71
 01/01  02:30:00,11,8.407153931,71
 01/01  02:45:00,11,8.407153931,71
 01/01  03:00:00,11,8.407153931,71
 01/01  03:15:00,11,8.407153931,71
 01/01  03:30:00,11,8.407153931,71
 01/01  03:45:00,11,8.407153931,71
 01/01  04:00:00,11,8.407153931,71
 01/01  04:15:00,10.5,8.180799351,73.5
 01/01  04:30:00,10,7.94413864,76
 01/01  04:45:00,9.5,7.697470454,78.5
 01/01  05:00:00,9,7.441062152,81
 01/01  05:15:00,9,7.441062152,81
 01/01  05:30:00,9,7.441062152,81
 01/01  05:45:00,9,7.441062152,81
 01/01  06:00:00,9,7.441062152,81
 01/01  06:15:00,8.75,7.330221636,82.5
 01/01  06:30:00,8.5,7.216470603,84
 01/01  06:45:00,8.25,7.099860016,85.5
 01/01  07:00:00,8,6.98042847,87
 01/01  07:15:00,8.5,7.237233789,84.25
 01/01  07:30:00,9,7.483819266,81.5
 01/01  07:45:00,9.5,7.719879215,78.75
 01/01  08:00:00,10,7.945098988,76
 01/01  08:15:00,10.25,8.176899997,76
 01/01  08:30:00,10.5,8.40867504,76
 01/01  08:45:00,10.75,8.640421616,76
 01/01  09:00:00,11,8.872149397,76
 01/01  09:15:00,11.25,8.987804495,74.75
 01/01  09:30:00,11.5,9.100900735,73.5
 01/01  09:45:00,11.75,9.211395656,72.25
 01/01  10:00:00,12,9.319255539,71
 01/01  10:15:00,12.5,9.674750051,70
 01/01  10:30:00,13,10.02625318,69
 01/01  10:45:00,13.5,10.37370433,68
 01/01  11:00:00,14,10.71705553,67
 01/01  11:15:00,14.75,11.06047238,64
 01/01  11:30:00,15.5,11.3827695,61
 01/01  11:45:00,16.25,11.68303504,58
 01/01  12:00:00,17,11.96029219,55
 01/01  12:15:00,17.25,12.20118386,55.25
 01/01  12:30:00,17.5,12.44256529,55.5
 01/01  12:45:00,17.75,12.68443451,55.75
 01/01  13:00:00,18,12.92679717,56
 01/01  13:15:00,18.25,13.13934393,56
 01/01  13:30:00,18.5,13.35187789,56
 01/01  13:45:00,18.75,13.56440051,56
 01/01  14:00:00,19,13.77691295,56
 01/01  14:15:00,19.25,13.89007294,55.25
 01/01  14:30:00,19.5,14.00126396,54.5
 01/01  14:45:00,19.75,14.11045411,53.75
 01/01  15:00:00,20,14.21761767,53
 01/01  15:15:00,20.25,14.28812065,52
 01/01  15:30:00,20.5,14.35567944,51
 01/01  15:45:00,20.75,14.42024052,50
 01/01  16:00:00,21,14.48176005,49
 01/01  16:15:00,20,14.14972556,52.5
 01/01  16:30:00,19,13.77792038,56
 01/01  16:45:00,18,13.36857254,59.5
 01/01  17:00:00,17,12.92368745,63
 01/01  17:15:00,16,12.44507944,66.5
 01/01  17:30:00,15,11.93439779,70
 01/01  17:45:00,14,11.39313565,73.5
 01/01  18:00:00,13,10.82266911,77
 01/01  18:15:00,13.25,10.93072603,75.75
 01/01  18:30:00,13.5,11.03610691,74.5
 01/01  18:45:00,13.75,11.13877453,73.25
 01/01  19:00:00,14,11.23868871,72
 01/01  19:15:00,14,11.23868871,72
 01/01  19:30:00,14,11.23868871,72
 01/01  19:45:00,14,11.23868871,72
 01/01  20:00:00,14,11.23868871,72
 01/01  20:15:00,13.75,11.13904804,73.25
 01/01  20:30:00,13.5,11.03662553,74.5
 01/01  20:45:00,13.25,10.93146132,75.75
 01/01  21:00:00,13,10.8235987,77
 01/01  21:15:00,12.5,10.59951375,79.5
 01/01  21:30:00,12,10.36519844,82
 01/01  21:45:00,11.5,10.12093706,84.5
 01/01  22:00:00,11,9.86699314,87
 01/01  22:15:00,10.9,9.815062754,87.5
 01/01  22:30:00,10.8,9.762765311,88
 01/01  22:45:00,10.7,9.71009104,88.5
 01/01  23:00:00,10.6,9.657046901,89
 01/01  23:15:00,10.5,9.560385486,89
 01/01  23:30:00,10.4,9.463721101,89
 01/01  23:45:00,10.3,9.367058329,89
 01/01  24:00:00,10.2,9.270391154,89
 01/02  00:15:00,10.1,9.194990677,89.25
 01/02  00:30:00,10,9.119421041,89.5
 01/02  00:45:00,9.9,9.043682448,89.75
 01/02  01:00:00,9.8,8.9677774,90
 01/02  01:15:00,9.675,8.86741745,90.25
 01/02  01:30:00,9.55,8.766852337,90.5
 01/02  01:45:00,9.425,8.666085757,90.75
 01/02  02:00:00,9.3,8.56511331,91
 01/02  02:15:00,9.225,8.512671234,91.25
 01/02  02:30:00,9.15,8.460098604,91.5
 01/02  02:45:00,9.075,8.407402526,91.75
 01/02  03:00:00,9,8.35458299,92
 01/02  03:15:00,8.9,8.236656216,91.75
 01/02  03:30:00,8.8,8.118873272,91.5
 01/02  03:45:00,8.7,8.001226693,91.25
 01/02  04:00:00,8.6,7.883721336,91
 01/02  04:15:00,8.525,7.830737355,91.25
 01/02  04:30:00,8.45,7.777628729,91.5
